symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
JPM,2019-04-23 00:00:00+00:00,113.74,114.37,112.85,113.0,9193318,98.6390809458,99.1854377332,97.8672435795,97.9973285289,9193318,0.0,1.0
JPM,2019-04-24 00:00:00+00:00,113.55,114.15,112.81,113.26,9245743,98.4743066766,98.9946464741,97.8325542597,98.2228091078,9245743,0.0,1.0
JPM,2019-04-25 00:00:00+00:00,113.61,114.15,112.5,113.01,9311768,98.5263406564,98.9946464741,97.563712031,98.0060008589,9311768,0.0,1.0
JPM,2019-04-26 00:00:00+00:00,114.47,114.58,113.6,113.95,7889519,99.2721610328,99.3675566623,98.5176683264,98.8211998749,7889519,0.0,1.0
JPM,2019-04-29 00:00:00+00:00,116.12,117.16,114.45,114.6,14242237,100.7030954759,101.6050177916,99.2548163729,99.3849013222,14242237,0.0,1.0
JPM,2019-04-30 00:00:00+00:00,116.05,116.72,115.26,116.43,11389147,100.6423891662,101.2234352734,99.9572750995,100.9719377046,11389147,0.0,1.0
JPM,2019-05-01 00:00:00+00:00,115.16,117.0,115.11,115.72,10412881,99.8705517999,101.4662605122,99.8271901501,100.3562022776,10412881,0.0,1.0
JPM,2019-05-02 00:00:00+00:00,115.41,115.78,114.58,115.17,8613305,100.0873600489,100.4082362573,99.3675566623,99.8792241299,8613305,0.0,1.0
JPM,2019-05-03 00:00:00+00:00,116.12,116.68,115.67,116.0,8185409,100.7030954759,101.1887459536,100.3128406278,100.5990275164,8185409,0.0,1.0
JPM,2019-05-06 00:00:00+00:00,115.09,115.47,113.72,114.18,9387010,99.8098454902,100.1393940286,98.6217362859,99.020663464,9387010,0.0,1.0
JPM,2019-05-07 00:00:00+00:00,113.21,114.03,112.29,114.03,15017725,98.179447458,98.8905785146,97.3815931019,98.8905785146,15017725,0.0,1.0
JPM,2019-05-08 00:00:00+00:00,112.61,113.67,112.46,112.66,9576075,97.6591076605,98.5783746361,97.5290227112,97.7024693103,9576075,0.0,1.0
JPM,2019-05-09 00:00:00+00:00,112.52,112.74,110.58,111.14,12205866,97.5810566909,97.77184795,95.898624679,96.3842751567,12205866,0.0,1.0
JPM,2019-05-10 00:00:00+00:00,112.51,112.84,110.54,111.75,13189381,97.5723843609,97.8585712496,95.8639353592,96.9132872841,13189381,0.0,1.0
JPM,2019-05-13 00:00:00+00:00,109.45,110.45,108.98,110.08,13783652,94.9186513937,95.7858843895,94.5110518857,95.4650081811,13783652,0.0,1.0
JPM,2019-05-14 00:00:00+00:00,110.32,111.72,109.5,109.55,10503672,95.6731441001,96.8872702942,94.9620130435,95.0053746933,10503672,0.0,1.0
JPM,2019-05-15 00:00:00+00:00,109.9,110.9,108.61,109.21,10142048,95.3089062418,96.1761392377,94.1901756772,94.7105154747,10142048,0.0,1.0
JPM,2019-05-16 00:00:00+00:00,111.31,112.17,110.59,110.62,9672729,96.5317047659,97.2775251424,95.907297009,95.9333139988,9672729,0.0,1.0
JPM,2019-05-17 00:00:00+00:00,110.77,111.75,109.83,110.0,9570477,96.0633989482,96.9132872841,95.2481999321,95.3956295414,9570477,0.0,1.0
JPM,2019-05-20 00:00:00+00:00,111.35,111.81,110.37,110.58,8518244,96.5663940858,96.9653212639,95.7165057499,95.898624679,8518244,0.0,1.0
JPM,2019-05-21 00:00:00+00:00,111.73,111.92,111.22,111.44,7967976,96.8959426242,97.0607168934,96.4536537963,96.6444450554,7967976,0.0,1.0
JPM,2019-05-22 00:00:00+00:00,110.82,111.79,110.75,111.4,7918898,96.106760598,96.9479766039,96.0460542883,96.6097557356,7918898,0.0,1.0
JPM,2019-05-23 00:00:00+00:00,108.64,109.79,107.5,109.64,14557969,94.2161926671,95.2135106123,93.2275470518,95.0834256629,14557969,0.0,1.0
